Date,Open,High,Low,Close,Adj Close,Volume
2022-12-05,11380.990234,11425.509766,11193.019531,11239.94043,11239.94043,4510030000.0
2022-12-06,11228.419922,11241.419922,10956.200195,11014.889648,11014.889648,4713330000.0
2022-12-07,10963.950195,11039.80957,10910.620117,10958.549805,10958.549805,4343860000.0
2022-12-08,11011.330078,11119.160156,10939.469727,11082.0,11082.0,4281800000.0
2022-12-09,11038.169922,11138.700195,10999.259766,11004.620117,11004.620117,4337440000.0
2022-12-10,11030.606770999999,11140.690104,10994.446614999999,11050.993489333334,11050.993489333334,4501623333.333333
2022-12-11,11023.04362,11142.680013,10989.633464,11097.366861666667,11097.366861666667,4665806666.666667
2022-12-12,11015.480469,11144.669922,10984.820313,11143.740234,11143.740234,4829990000.0
2022-12-13,11542.839844,11571.639648,11160.540039,11256.80957,11256.80957,6126890000.0
2022-12-14,11248.089844,11352.089844,11065.240234,11170.889648,11170.889648,5485150000.0
2022-12-15,11012.620117,11029.570313,10775.610352,10810.530273,10810.530273,5536070000.0
2022-12-16,10767.629883,10833.240234,10642.099609,10705.410156,10705.410156,7968170000.0
2022-12-17,10747.566732,10793.483398333334,10593.916341,10652.283528333333,10652.283528333333,6856053333.333333
2022-12-18,10727.503581,10753.726562666667,10545.733073000001,10599.156900666667,10599.156900666667,5743936666.666666
2022-12-19,10707.44043,10713.969727,10497.549805,10546.030273,10546.030273,4631820000.0
2022-12-20,10490.889648,10609.459961,10446.820313,10547.110352,10547.110352,4707190000.0
2022-12-21,10592.0,10753.570313,10569.200195,10709.370117,10709.370117,4401420000.0
2022-12-22,10586.459961,10599.339844,10313.320313,10476.120117,10476.120117,5125070000.0
2022-12-23,10437.75,10514.759766,10361.820313,10497.860352,10497.860352,3544680000.0
2022-12-24,10443.8601075,10504.14990275,10356.547852,10461.70288125,10461.70288125,3615332500.0
2022-12-25,10449.970215000001,10493.5400395,10351.275391,10425.545410499999,10425.545410499999,3685985000.0
2022-12-26,10456.0803225,10482.93017625,10346.00293,10389.38793975,10389.38793975,3756637500.0
2022-12-27,10462.19043,10472.320313,10340.730469,10353.230469,10353.230469,3827290000.0
2022-12-28,10339.200195,10414.820313,10207.469727,10213.290039,10213.290039,3842970000.0
2022-12-29,10321.459961,10502.080078,10301.05957,10478.089844,10478.089844,4154100000.0
2022-12-30,10368.370117,10468.30957,10324.700195,10466.480469,10466.480469,3959030000.0
2022-12-31,10416.79248025,10504.49707,10320.81518525,10446.605469,10446.605469,4164435000.0
2023-01-01,10465.2148435,10540.68457,10316.9301755,10426.730469,10426.730469,4369840000.0
2023-01-02,10513.63720675,10576.87207,10313.04516575,10406.855469,10406.855469,4575245000.0
2023-01-03,10562.05957,10613.05957,10309.160156,10386.980469,10386.980469,4780650000.0
2023-01-04,10467.820313,10515.219727,10337.639648,10458.759766,10458.759766,5085380000.0
2023-01-05,10390.30957,10393.219727,10295.25,10305.240234,10305.240234,4764270000.0
2023-01-06,10363.959961,10604.139648,10265.040039,10569.290039,10569.290039,5199780000.0
2023-01-07,10463.339843666667,10671.846354,10383.066731666666,10591.410156333333,10591.410156333333,5177250000.0
2023-01-08,10562.719726333335,10739.55306,10501.093424333334,10613.530273666665,10613.530273666665,5154720000.0
2023-01-09,10662.099609,10807.259766,10619.120117,10635.650391,10635.650391,5132190000.0
2023-01-10,10607.719727,10743.669922,10589.589844,10742.629883,10742.629883,4710680000.0
2023-01-11,10794.990234,10932.44043,10762.730469,10931.669922,10931.669922,5284390000.0
2023-01-12,10969.259766,11027.75,10797.120117,11001.099609,11001.099609,5681240000.0
2023-01-13,10906.370117,11084.009766,10900.160156,11079.160156,11079.160156,5077990000.0
2023-01-14,10947.27758775,11099.367432,10931.30004875,11083.147705,11083.147705,5093095000.0
2023-01-15,10988.1850585,11114.725097999999,10962.4399415,11087.135254,11087.135254,5108200000.0
2023-01-16,11029.09252925,11130.082764,10993.57983425,11091.122803,11091.122803,5123305000.0
2023-01-17,11070.0,11145.44043,11024.719727,11095.110352,11095.110352,5138410000.0
2023-01-18,11170.950195,11223.410156,10952.049805,10957.009766,10957.009766,5288630000.0
2023-01-19,10890.400391,10932.519531,10804.570313,10852.269531,10852.269531,4660800000.0
2023-01-20,10924.660156,11143.169922,10885.650391,11140.429688,11140.429688,5980110000.0
2023-01-21,11007.086914,11230.613281333333,10971.777018333332,11215.089844,11215.089844,5986010000.0
2023-01-22,11089.513672000001,11318.056640666666,11057.903645666667,11289.75,11289.75,5991910000.0
2023-01-23,11171.94043,11405.5,11144.030273,11364.410156,11364.410156,5997810000.0
2023-01-24,11302.929688,11378.150391,11282.650391,11334.269531,11334.269531,5670860000.0
2023-01-25,11146.530273,11334.219727,11069.179688,11313.360352,11313.360352,5485570000.0
2023-01-26,11458.400391,11516.049805,11341.19043,11512.410156,11512.410156,5732890000.0
2023-01-27,11470.469727,11691.889648,11470.269531,11621.709961,11621.709961,6243800000.0
2023-01-28,11484.426432666667,11645.696288666666,11443.026367,11545.743164,11545.743164,5869973333.333333
2023-01-29,11498.383138333333,11599.502929333334,11415.783202999999,11469.776367,11469.776367,5496146666.666667
2023-01-30,11512.339844,11553.30957,11388.540039,11393.80957,11393.80957,5122320000.0
2023-01-31,11398.580078,11586.009766,11398.370117,11584.549805,11584.549805,5695150000.0
2023-02-01,11573.139648,11904.019531,11500.330078,11816.320313,11816.320313,6336040000.0
2023-02-02,12065.150391,12269.549805,12024.139648,12200.820313,12200.820313,7038210000.0
2023-02-03,11946.860352,12231.30957,11946.860352,12006.950195,12006.950195,5954490000.0
2023-02-04,11932.710286666666,12145.343098666666,11912.403646,11967.116861666665,11967.116861666665,5815776666.666667
2023-02-05,11918.560221333333,12059.376627333333,11877.94694,11927.283528333333,11927.283528333333,5677063333.333333
2023-02-06,11904.410156,11973.410156,11843.490234,11887.450195,11887.450195,5538350000.0
2023-02-07,11891.25,12150.219727,11836.780273,12113.790039,12113.790039,5720240000.0
2023-02-08,12069.120117,12096.389648,11890.089844,11910.519531,11910.519531,5052870000.0
2023-02-09,12069.099609,12070.959961,11745.110352,11789.580078,11789.580078,5536290000.0
2023-02-10,11714.599609,11775.799805,11630.540039,11718.120117,11718.120117,4885030000.0
2023-02-11,11729.429687333333,11820.839844,11660.270182333334,11776.010091,11776.010091,4840980000.0
2023-02-12,11744.259765666668,11865.879883,11690.000325666666,11833.900065,11833.900065,4796930000.0
2023-02-13,11759.089844,11910.919922,11719.730469,11891.790039,11891.790039,4752880000.0
2023-02-14,11808.200195,11999.849609,11760.55957,11960.150391,11960.150391,5032430000.0
2023-02-15,11905.120117,12071.290039,11876.820313,12070.589844,12070.589844,5056640000.0
2023-02-16,11896.30957,12040.339844,11853.360352,11855.830078,11855.830078,5159410000.0
2023-02-17,11777.5,11803.219727,11673.209961,11787.269531,11787.269531,4925230000.0
2023-02-18,11743.21752925,11773.44970725,11627.702392750001,11713.5270995,11713.5270995,4944557500.0
2023-02-19,11708.9350585,11743.6796875,11582.1948245,11639.784668,11639.784668,4963885000.0
2023-02-20,11674.65258775,11713.90966775,11536.68725625,11566.042236500001,11566.042236500001,4983212500.0
2023-02-21,11640.370117,11684.139648,11491.179688,11492.299805,11492.299805,5002540000.0
2023-02-22,11517.200195,11582.519531,11445.169922,11507.070313,11507.070313,4671270000.0
2023-02-23,11636.929688,11638.980469,11432.580078,11590.400391,11590.400391,4714580000.0
2023-02-24,11404.179688,11434.360352,11334.469727,11394.94043,11394.94043,4432650000.0
2023-02-25,11441.849935333334,11477.983724333333,11371.179687666667,11418.953776333334,11418.953776333334,4453100000.0
2023-02-26,11479.520182666667,11521.607096666667,11407.889648333334,11442.967122666667,11442.967122666667,4473550000.0
2023-02-27,11517.19043,11565.230469,11444.599609,11466.980469,11466.980469,4494000000.0
2023-02-28,11451.049805,11548.230469,11435.389648,11455.540039,11455.540039,5340950000.0
2023-03-01,11447.580078,11479.0,11349.870117,11379.480469,11379.480469,4927530000.0
2023-03-02,11273.769531,11487.589844,11273.610352,11462.980469,11462.980469,5313760000.0
2023-03-03,11524.650391,11699.629883,11514.740234,11689.009766,11689.009766,5102210000.0
2023-03-04,11595.390299666666,11742.393229333333,11565.653645666667,11684.586588666667,11684.586588666667,5062433333.333333
2023-03-05,11666.130208333334,11785.156575666666,11616.567057333334,11680.163411333333,11680.163411333333,5022656666.666667
2023-03-06,11736.870117,11827.919922,11667.480469,11675.740234,11675.740234,4982880000.0
2023-03-07,11670.980469,11705.959961,11512.030273,11530.330078,11530.330078,5422820000.0
2023-03-08,11553.089844,11601.230469,11487.75,11576.0,11576.0,5085970000.0
2023-03-09,11578.30957,11667.120117,11319.980469,11338.349609,11338.349609,5061790000.0
2023-03-10,11325.360352,11373.80957,11093.860352,11138.889648,11138.889648,6193500000.0
2023-03-11,11230.726888333333,11358.116536333333,11056.840169666666,11155.539713333334,11155.539713333334,6196163333.333333
2023-03-12,11136.093424666667,11342.423502666667,11019.819987333334,11172.189778666667,11172.189778666667,6198826666.666667
2023-03-13,11041.459961,11326.730469,10982.799805,11188.839844,11188.839844,6201490000.0
2023-03-14,11357.730469,11467.019531,11284.929688,11428.150391,11428.150391,5533120000.0
2023-03-15,11291.169922,11447.900391,11238.44043,11434.049805,11434.049805,5912430000.0
2023-03-16,11384.870117,11733.799805,11365.490234,11717.280273,11717.280273,5498920000.0
2023-03-17,11696.339844,11773.110352,11562.629883,11630.509766,11630.509766,7903090000.0
2023-03-18,11669.023112,11747.256836333334,11558.650065333333,11645.519857,11645.519857,6925603333.333333
2023-03-19,11641.70638,11721.403320666666,11554.670247666667,11660.529948,11660.529948,5948116666.666667
2023-03-20,11614.389648,11695.549805,11550.69043,11675.540039,11675.540039,4970630000.0
2023-03-21,11764.790039,11879.160156,11724.910156,11860.110352,11860.110352,4829870000.0
2023-03-22,11857.5,12013.990234,11666.849609,11669.959961,11669.959961,4981590000.0
2023-03-23,11811.320313,11962.69043,11684.519531,11787.400391,11787.400391,4917460000.0
2023-03-24,11747.620117,11826.230469,11670.669922,11823.959961,11823.959961,4363650000.0
2023-03-25,11787.926757666666,11851.890299666667,11693.463216333334,11805.586588666667,11805.586588666667,4352540000.0
2023-03-26,11828.233398333334,11877.550130333333,11716.256510666666,11787.213216333334,11787.213216333334,4341430000.0
2023-03-27,11868.540039,11903.209961,11739.049805,11768.839844,11768.839844,4330320000.0
2023-03-28,11752.759766,11752.759766,11635.030273,11716.080078,11716.080078,4036910000.0
2023-03-29,11855.589844,11941.599609,11823.349609,11926.240234,11926.240234,4493540000.0
2023-03-30,12010.450195,12044.790039,11953.370117,12013.469727,12013.469727,4738880000.0
2023-03-31,12031.540039,12227.929688,12030.44043,12221.910156,12221.910156,5521150000.0
2023-04-01,12069.723307333334,12217.39974,12049.133463666667,12211.090169,12211.090169,5286246666.666667
2023-04-02,12107.906575666666,12206.869792,12067.826497333333,12200.270182,12200.270182,5051343333.333333
2023-04-03,12146.089844,12196.339844,12086.519531,12189.450195,12189.450195,4816440000.0
2023-04-04,12208.490234,12224.679688,12081.80957,12126.330078,12126.330078,4298760000.0
2023-04-05,12081.759766,12086.75,11931.849609,11996.860352,11996.860352,4378590000.0
2023-04-06,11939.080078,12098.5,11898.360352,12087.959961,12087.959961,3862800000.0
2023-04-07,11948.09252925,12095.11254875,11904.82031275,12087.060058750001,12087.060058750001,3980617500.0
2023-04-08,11957.1049805,12091.725097499999,11911.2802735,12086.1601565,12086.1601565,4098435000.0
2023-04-09,11966.11743175,12088.33764625,11917.740234249999,12085.260254249999,12085.260254249999,4216252500.0
2023-04-10,11975.129883,12084.950195,11924.200195,12084.360352,12084.360352,4334070000.0
2023-04-11,12080.240234,12091.269531,12011.400391,12031.879883,12031.879883,4676960000.0
2023-04-12,12110.870117,12134.5,11916.540039,11929.339844,11929.339844,4909770000.0
2023-04-13,11997.419922,12178.799805,11995.94043,12166.269531,12166.269531,4942990000.0
2023-04-14,12117.910156,12205.719727,12026.549805,12123.469727,12123.469727,4655740000.0
2023-04-15,12114.683593666667,12190.152995,12039.066406333333,12134.886393666666,12134.886393666666,4711553333.333333
2023-04-16,12111.457031333333,12174.586263,12051.583007666668,12146.303060333334,12146.303060333334,4767366666.666667
2023-04-17,12108.230469,12159.019531,12064.099609,12157.719727,12157.719727,4823180000.0
2023-04-18,12234.55957,12245.429688,12110.230469,12153.410156,12153.410156,4851810000.0
2023-04-19,12063.679688,12191.099609,12060.169922,12157.230469,12157.230469,4972700000.0
2023-04-20,12039.080078,12155.959961,12011.950195,12059.55957,12059.55957,4590530000.0
2023-04-21,12046.030273,12097.150391,11986.820313,12072.459961,12072.459961,4868050000.0
2023-04-22,12048.510091,12099.29362,11977.980143666668,12060.706705666667,12060.706705666667,4863383333.333333
2023-04-23,12050.989909,12101.436849,11969.139974333333,12048.953450333333,12048.953450333333,4858716666.666667
2023-04-24,12053.469727,12103.580078,11960.299805,12037.200195,12037.200195,4854050000.0
2023-04-25,11968.80957,11990.459961,11798.769531,11799.160156,11799.160156,4806020000.0
2023-04-26,11913.230469,11967.990234,11833.070313,11854.349609,11854.349609,5281970000.0
2023-04-27,11972.150391,12154.009766,11950.919922,12142.240234,12142.240234,5253710000.0
2023-04-28,12117.540039,12227.719727,12082.570313,12226.580078,12226.580078,5331380000.0
2023-04-29,12148.376627666667,12238.919922333333,12115.406901333334,12221.919921666668,12221.919921666668,5277063333.333333
2023-04-30,12179.213216333334,12250.120117666667,12148.243489666667,12217.259765333334,12217.259765333334,5222746666.666667
2023-05-01,12210.049805,12261.320313,12181.080078,12212.599609,12212.599609,5168430000.0
2023-05-02,12198.019531,12206.580078,12015.230469,12080.509766,12080.509766,5501410000.0
2023-05-03,12097.040039,12212.549805,12022.459961,12025.330078,12025.330078,5782160000.0
2023-05-04,11997.339844,12033.150391,11925.370117,11966.400391,11966.400391,4745780000.0
2023-05-05,12073.030273,12264.830078,12065.719727,12235.410156,12235.410156,4574790000.0
2023-05-06,12125.913411333333,12264.883463333334,12103.233073333333,12242.580077999999,12242.580077999999,4455313333.333333
2023-05-07,12178.796549666667,12264.936848666668,12140.746419666666,12249.75,12249.75,4335836666.666667
2023-05-08,12231.679688,12264.990234,12178.259766,12256.919922,12256.919922,4216360000.0
2023-05-09,12195.780273,12216.129883,12174.05957,12179.549805,12179.549805,4126780000.0
2023-05-10,12286.660156,12337.69043,12180.860352,12306.44043,12306.44043,4948260000.0
2023-05-11,12321.259766,12347.379883,12255.44043,12328.509766,12328.509766,4489490000.0
2023-05-12,12350.519531,12364.650391,12209.580078,12284.740234,12284.740234,4170000000.0
2023-05-13,12334.069661333333,12368.567057666665,12227.503255000001,12311.563476333335,12311.563476333335,4106430000.0
2023-05-14,12317.619791666666,12372.483724333333,12245.426432,12338.386718666667,12338.386718666667,4042860000.0
2023-05-15,12301.169922,12376.400391,12263.349609,12365.209961,12365.209961,3979290000.0
2023-05-16,12327.049805,12403.80957,12324.519531,12343.049805,12343.049805,4067510000.0
2023-05-17,12388.580078,12514.070313,12335.019531,12500.570313,12500.570313,4501820000.0
2023-05-18,12513.870117,12698.5,12512.259766,12688.839844,12688.839844,4532890000.0
2023-05-19,12709.459961,12731.730469,12624.05957,12657.900391,12657.900391,3935780000.0
2023-05-20,12694.453450666668,12739.897135666666,12634.459635333333,12678.860351666666,12678.860351666666,4050160000.0
2023-05-21,12679.446940333333,12748.063802333334,12644.859700666666,12699.820312333333,12699.820312333333,4164540000.0
2023-05-22,12664.44043,12756.230469,12655.259766,12720.780273,12720.780273,4278920000.0
2023-05-23,12652.879883,12709.740234,12554.429688,12560.25,12560.25,4347440000.0
2023-05-24,12481.889648,12529.629883,12415.849609,12484.160156,12484.160156,4088270000.0
2023-05-25,12706.44043,12736.919922,12604.889648,12698.089844,12698.089844,4651640000.0
2023-05-26,12736.419922,13001.910156,12729.740234,12975.69043,12975.69043,4434070000.0
2023-05-27,12829.58984375,13040.00512675,12789.335204750001,12986.125244500001,12986.125244500001,4536420000.0
2023-05-28,12922.759765499999,13078.100097499999,12848.930175500001,12996.560059,12996.560059,4638770000.0
2023-05-29,13015.92968725,13116.19506825,12908.52514625,13006.9948735,13006.9948735,4741120000.0
2023-05-30,13109.099609,13154.290039,12968.120117,13017.429688,13017.429688,4843470000.0
2023-05-31,12968.379883,13029.080078,12889.370117,12935.290039,12935.290039,5905760000.0
2023-06-01,12944.459961,13141.830078,12903.629883,13100.980469,13100.980469,4610310000.0
2023-06-02,13190.480469,13256.209961,13125.860352,13240.769531,13240.769531,4426760000.0
2023-06-03,13206.480469,13281.023437666667,13148.890299666666,13236.989583333334,13236.989583333334,4399266666.666667
